id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
938271786418327576,Knickerbocker 3 The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65868,-73.77333,Private room,331,1,0,,,11,187,0,
938280419686165005,Historic Carriage House  in Washington Park,526358730,1470367137726823676,Argus,,TENTH WARD,42.66036,-73.7729,Entire home/apt,431,1,19,2026-02-22,0.55,11,181,3,
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,1462910582703398538,F S,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,76,5,27,2025-09-15,0.77,5,334,1,
938431811499141903,The little room with TV and twin bed,116935236,1462910582703398538,F S,,THIRTEENTH WARD,42.66974,-73.78611,Private room,61,5,49,2026-04-20,1.39,5,334,13,
942750363293463100,The spacious room w/ tv dresser/desk,116935236,1462910582703398538,F S,,ELEVENTH WARD,42.67034,-73.7851,Private room,72,5,23,2026-06-06,0.78,5,345,4,
950211425725610511,"Historic, Spacious Mansion Suite",1717342,1462519919373256389,David,,SIXTH WARD,42.6541815,-73.76086049999999,Entire home/apt,287,1,259,2026-06-07,7.52,2,313,84,
950613505102507073,Modern and cozy home,529844022,1470381028518590517,Eraj,,FIRST WARD,42.6376753,-73.76854089999999,Entire home/apt,,1,14,2026-02-08,1.74,1,0,14,
963920695464462572,Comfy studio in heart of Albany,189586864,1468983213877861643,Justin,,SIXTH WARD,42.65241,-73.77002,Entire home/apt,184,1,139,2026-05-28,4.08,1,335,38,
965313684808466476,Historic Brownstone in Downtown Albany,533703131,1470395782866195813,Abel,,THIRD WARD,42.656658760865334,-73.74939680099487,Entire home/apt,,1,6,2025-05-10,0.41,1,0,0,
966287799980701967,"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,1469762544714882673,Tanjin,,FIFTEENTH WARD,42.67059,-73.81678,Entire home/apt,160,3,28,2025-12-17,0.84,1,164,7,
969886763377526954,Abba House historic Retreat - 1st Floor Queen Bed,382970529,1463574448322349045,Thomas,,FOURTEENTH WARD,42.66877,-73.79927,Private room,90,1,165,2026-06-01,5.16,12,14,37,
980034348801186320,Chic Madison Parkview,241123402,1469281511815529913,JShing,,SIXTH WARD,42.65312775001394,-73.76950465142727,Entire home/apt,177,1,42,2026-06-05,1.29,1,295,17,
983306819910081094,The House That Pat Built,114183978,1468177318288045326,Tyrell,,FIFTH WARD,42.66628,-73.76512,Entire home/apt,209,2,7,2025-11-02,0.22,1,107,2,
989010058281318863,Modern 1BR in a great location,75667477,1466929387541484377,Ahmad,,THIRD WARD,42.65515515851637,-73.76052582647431,Entire home/apt,109,30,10,2026-02-01,0.30,1,218,3,
990935487146379699,Garden level apartment | Center Sq-great location!,93905065,1467133198053733616,Grace,,SIXTH WARD,42.652599240074956,-73.761780139996,Entire home/apt,144,1,43,2026-05-13,1.47,1,69,24,
992119832780871644,Two bedroom close to colleges!,152762198,1468498032337807838,Allen,,FOURTEENTH WARD,42.67098,-73.80695,Entire home/apt,177,3,37,2026-05-24,1.13,9,264,19,
992554549672159765,5BR/4BA Retreat | Fire Pit + BBQ,476189412,1470146476912630337,Timothy,,SEVENTH WARD,42.64485687096462,-73.77281881169621,Entire home/apt,625,2,24,2026-06-12,0.84,3,127,14,
993431459821117738,Albany 3 Bedroom Apt. Sleeps 6,309980121,1469578219005111520,Zhechao Ronald,,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,,7,12,2024-02-29,0.37,1,0,0,
999161887055542119,"Spacious Apartment Downtown Albany, NY",531209536,1470386116918435368,Amar,,THIRD WARD,42.65762,-73.75116,Entire home/apt,161,1,59,2026-05-16,1.82,2,253,24,
1004978540001566331,Elegant Albany Retreat | Mins to D/T & UAlbany,31318080,1465460656968872710,Cindy,,EIGHTH WARD,42.6555,-73.81066,Entire home/apt,258,2,97,2026-05-31,3.42,1,215,41,
1005978346817864540,Massive 4BD/3BA 2-Fl Townhouse Apt Downtown Albany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64534889999999,-73.75364650000002,Entire home/apt,355,1,106,2026-05-13,3.31,11,352,39,
