id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,availability_category,review_activity,host_type
757978037279611051,Charming location near universities & hospital,232967878,Diana,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,249.0,2.0,70,2026-05-06,1.74,14,36,18,Low availability,High review activity,Multi-listing host
761141715827746314,ParkSouth Stay 2 Bedroom with Parking,37769478,Erion,SIXTH WARD,42.65405,-73.76953,Entire home/apt,183.0,1.0,50,2026-05-10,1.17,16,259,5,High availability,Medium review activity,Multi-listing host
764508866835218670,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,TENTH WARD,42.66117,-73.79091,Private room,115.0,1.0,44,2026-05-17,1.02,2,10,13,Low availability,Medium review activity,Multi-listing host
774701102203414342,Entire cozy unit in Albany,261036923,Hasan,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,91.0,4.0,78,2026-05-31,1.85,1,231,15,High availability,High review activity,Single-listing host
784781397995494758,Private Entry to bedroom and private bath,491907850,Donna,FOURTEENTH WARD,42.66298,-73.81361,Private room,78.0,1.0,62,2026-05-23,1.53,1,164,42,Medium availability,High review activity,Single-listing host
786181179052991690,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,THIRD WARD,42.65653,-73.76223,Entire home/apt,81.0,30.0,3,2024-01-27,0.09,11,364,0,High availability,Low review activity,Multi-listing host
786228331433922432,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,SIXTH WARD,42.65322,-73.76249,Entire home/apt,87.0,30.0,5,2025-12-31,0.15,11,354,1,High availability,Low review activity,Multi-listing host
786316043239579100,Elegant newly renovated cozy smart apartment,253824490,Tomar,FIFTH WARD,42.6591503133547,-73.75431932508945,Entire home/apt,149.0,2.0,43,2026-04-19,1.05,1,302,7,High availability,Medium review activity,Single-listing host
787023821243442039,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,292.0,1.0,150,2026-05-31,3.73,21,105,38,Medium availability,High review activity,Multi-listing host
794723189688979530,Newly Renovated| Washer&Dryer|5G Wifi,20144241,Vertesol,FIFTH WARD,42.67283,-73.77367,Entire home/apt,137.0,1.0,24,2026-03-28,0.65,1,255,9,High availability,Medium review activity,Single-listing host
795541666227926706,Historic Washington Park Inn | Full Mansion | 7 BR,493882819,Terra,NINTH WARD,42.656329,-73.7752048,Shared room,840.0,1.0,9,2026-05-14,0.26,6,141,4,Medium availability,Low review activity,Multi-listing host
796231143904004713,Historic Washington Park Inn | Room 4 | Floor 2,493882819,Terra,NINTH WARD,42.65582,-73.77541,Private room,167.0,1.0,12,2024-12-01,0.34,6,185,0,High availability,Medium review activity,Multi-listing host
797455132224782470,Albany Medical/colleges/Downtown Albany/ Room O,89705052,Share,TENTH WARD,42.65741,-73.78034,Private room,69.0,2.0,23,2025-11-11,0.56,2,101,9,Medium availability,Medium review activity,Multi-listing host
802216634798169031,Historic Washington Park Inn | Room 6 | Floor 2,493882819,Terra,SIXTH WARD,42.65751,-73.77409,Private room,190.0,1.0,6,2024-10-13,0.17,6,171,0,Medium availability,Low review activity,Multi-listing host
803814397190632412,Historic Washington Park Inn | Room 5 | Floor 2,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,179.0,1.0,6,2024-10-11,0.17,6,181,0,High availability,Low review activity,Multi-listing host
803867986023966300,Historic Washington Park Inn | Room 1 | 1st Floor,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,167.0,1.0,10,2025-08-27,0.28,6,187,1,High availability,Low review activity,Multi-listing host
809524698302742033,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,NINTH WARD,42.65613971519499,-73.79212237894535,Entire home/apt,110.0,30.0,3,2026-05-24,0.22,2,161,2,Medium availability,Low review activity,Multi-listing host
813640070361665090,The front room w/ TV and king size bed,116935236,F S,THIRTEENTH WARD,42.67144,-73.79033,Private room,63.0,5.0,24,2026-06-14,0.69,5,360,7,High availability,Medium review activity,Multi-listing host
816085193659797849,Cozy Apartment across the Park,37769478,Erion,SIXTH WARD,42.65258,-73.76917,Entire home/apt,153.0,1.0,59,2026-05-17,1.44,16,311,19,High availability,High review activity,Multi-listing host
